Part Guid	Part Name	Assembly	Full Assembly Name	Drawing	Drawing Path	Stock Name	Material	Manufacturer	Finishes	Insulations	TCG	LCG	VCG	Length	Length with Green	Nest	Nest Drawing	Nominal Size	Weight	Article Number	Spool Name	Description	Area	Branch	Stock Type	System	SpoolGUID	PRIMARY AssemblyGUID
e71d3a64-509c-4d2a-abf4-ee36a06bc352	P-4972	PIPING	PROJECT/U01/PIPING	632_U01_Sanitary fresh water TD	Units\\U01\\Piping\\632_U01_Sanitary fresh water TD.dwg	PIPE-15,0x1,0-WICU	Copper Cu	MISC		20mm	2848	48886	6485	93	93	N/A	N/A	12 mm	0.036	N/A	632-FC01-003	N/A	N/A	632-FC01	N/A	632	df11fb74-8446-4514-bd53-b000b7f0d906	21ded010-51d2-4718-967b-9b31beef1228
e71f3891-a36b-4d67-bb91-6dab70ecbb51	P-9861	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	672_U01_Black and grey water TD	Units\\U01\\Piping\\672_U01_Black and grey water TD.dwg	PIPE-57x2,0-1.4571	Stainless Steel 1.4571	MISC			-100	40350	5605	2590	2590	N/A	N/A	50 mm	7.019	N/A	N/A	N/A	N/A	672-BW01	N/A	672	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e7287a02-9860-439a-9c10-1a824a1c2278	P-467	Unassigned Pipe	PROJECT/U02/Unassigned Pipe	632_U02_Sanitary fresh water TTD	Units\\U02\\Piping\\632_U02_Sanitary fresh water TTD.dwg	SDNR-MISC-110979-DN40-FL	Bronze Rg	MISC		20mm	-1894	34830	2866	N/A	N/A	N/A	N/A	40 mm	9.5	N/A	N/A	N/A	N/A	632-FC01	N/A	632	NULL	e6191842-d6c2-4843-924a-0d2d26e7b927
e728c0a5-24ee-48b3-bc90-fdf51cbf7427	P-362	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	632_U02_Sanitary fresh water TTD	Units\\U02\\Piping\\632_U02_Sanitary fresh water TTD.dwg	FLNG-SANPRESS-2359-D35x32-1.4401	Stainless Steel 1.4401	VIEGA		20mm	1893	35191	2421	88	N/A	N/A	N/A	32 mm	1.1	N/A	N/A	N/A	N/A	632-FC01	N/A	632	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e7323e65-91ab-46d2-ac83-ec40f4bd33f5	P-3205	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	PIPE-35,0x1,5-WICU	Copper Cu	MISC			1515	33264	3440	2168	2168	N/A	N/A	32 mm	3.035	N/A	N/A	N/A	N/A	623-HR01	N/A	623	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e739a88d-8ade-46da-9561-a2b50ac87c23	SSI-0205-P01-S62	P01	PROJECT/U02/0205/0205-ES05/P01	U02_FR62	Units\\U02\\Structure\\Frame\\U02_FR62.dwg	HP140x8	Steel Gr. A	ACME		N/A	-6614	37206	5388	2497	2497	HP140x8-023	N/A	N/A	26.234	N/A	N/A	Side Shell Stbd	N/A	N/A	Bulb Flat	N/A	NULL	6da53d26-103d-4916-9155-f20312471341
e73d8f86-7bfb-46de-8d64-2ed318c3aac1	P-1648	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	632_U02_Sanitary fresh water TTD	Units\\U02\\Piping\\632_U02_Sanitary fresh water TTD.dwg	PIPE-SANPRESS-35,0x1,5-1.4401	Stainless Steel 1.4401	VIEGA		20mm	2167	35010	2546	323	323	N/A	N/A	32 mm	0.407	N/A	N/A	N/A	N/A	632-FC01	N/A	632	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e73ddff6-b5bc-4373-9308-f2f09e42ff5d	P-2480	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	550_U02_Exhaust system	Units\\U02\\Piping\\550_U02_Exhaust system.dwg	PIPE-ONTOP-AD-500-400	Stainless Steel 1.4404	ONTOP Abgastechnik Gmbh		37.5mm	4913	29371	5395	535	N/A	N/A	N/A	400 mm	10.1	N/A	N/A	N/A	N/A	550-EX02	N/A	550	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e7453f1e-d0f2-43cf-a2fc-70a769790d70	P-5132	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	632_U02_Sanitary fresh water TD	Units\\U02\\Piping\\632_U02_Sanitary fresh water TD.dwg	ELBOW-45-2426-15,0x1,0-VIEGA	Copper Cu	VIEGA		20mm	-4147	35200	4509	59	N/A	N/A	N/A	12 mm	0.024	N/A	N/A	N/A	N/A	632-FR01	N/A	632	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e7475d79-afb6-41c9-95cc-a3d3812b3506	COUPLING-MISC-D88.9-060	Unassigned Equipment	PROJECT/U02/Unassigned Equipment	641_U02_Bilge and ballast	Units\\U02\\Piping\\641_U02_Bilge and ballast.dwg	COUPLING-MISC-D88.9	N/A	MISC			-5967	31984	2496	N/A	N/A	N/A	N/A	N/A	1.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7750d9dd-79a0-4346-9a01-e543081373d8
